label,BRCA1,BRCA2,TP53,PIK3CA,CDH1,PTEN,AKT1,MYC,CCND1,ERBB2,ESR1,PGR,MKI67,KRAS,EGFR,VEGFA,MMP9,CDKN2A,STAT3,JAK2
Cancer,-2.1219,-3.0168,-0.395,-0.0428,-2.0985,1.0899,-0.9249,-0.5537,0.2648,2.4915,2.3009,3.0123,-3.3912,0.3359,-1.1748,-1.3347,-4.808,1.1837,0.7316,0.4642
Cancer,-1.4981,0.4335,-0.0312,-0.332,2.6448,0.4036,-0.2682,-2.7739,-0.8354,4.628,2.9296,-2.286,-1.215,1.6891,-3.0206,-1.3957,1.684,0.2608,0.6605,-0.3967
Cancer,-1.3891,0.3562,0.4638,0.6945,1.3192,1.1087,-0.5002,-0.0201,-0.7982,1.5411,0.6212,-1.9438,-0.8068,0.3409,-0.0182,-1.5238,-3.9165,0.2388,1.3177,2.3397
Cancer,-1.4532,-2.5812,-0.3463,0.3032,1.2273,0.5584,0.4115,-0.9928,1.3045,2.69,5.0623,-0.1387,-2.0825,0.3636,-1.6836,-1.5197,-3.492,-0.3296,1.3756,-0.5158
Cancer,-0.4282,-0.3825,-0.1215,0.3272,1.949,0.34,-0.8122,-0.0122,-0.3962,2.063,1.8896,0.5115,-1.902,-0.1032,-1.9668,-1.0403,0.3182,-0.1926,1.3728,-0.1782
Cancer,-1.6698,-1.0062,-0.567,-0.3728,2.5785,0.8238,-0.0272,-2.6675,-0.8056,0.2046,3.4692,0.8177,-1.2948,0.0126,-2.5945,-1.4009,2.51,0.9543,0.3152,0.1907
Cancer,-1.3043,-0.1485,1.309,0.8478,0.9952,1.2191,0.1289,-0.2399,0.5751,1.5324,-1.1442,-2.2998,-0.0107,-0.0905,0.1889,-1.9304,-0.931,3.2263,1.6493,0.7102
Cancer,-2.0965,-1.3918,-0.1855,-0.0062,-1.9303,1.245,0.2555,-0.85,0.917,3.6121,3.865,2.5362,-2.203,0.0907,-1.1815,-1.7958,-4.1402,0.9245,0.8934,0.9177
Cancer,-0.9082,-2.3452,0.1645,0.2498,1.3499,-0.5449,0.1766,0.8381,-1.1002,1.5159,-2.0027,-2.3713,-1.109,-0.6884,-0.0165,0.6758,-0.3298,-0.3705,1.1866,-1.0712
Cancer,-0.9542,-0.3502,-0.0773,0.3262,1.2321,0.3916,0.3185,-2.0659,-1.6125,5.5182,-2.6954,-1.9888,-1.4822,1.0415,-2.235,-0.4246,4.9042,0.7528,0.8879,0.6243
